"frame_no","bodyparts","x_p1","y_p1","c_p1","x_p2","y_p2","c_p2"
6,"RElbow",200.033,671.965,0.921402,454.207,639.912,0.74258
6,"RWrist",231.92,744.512,0.987548,422.426,703.422,0.852479
6,"LShoulder",200.014,580.953,0.732896,495.063,562.885,0.886911
6,"LElbow",0,0,0,526.811,640.105,0.887666
6,"LWrist",0,0,0,454.142,662.61,0.906564
6,"MidHip",200.105,735.179,0.789266,467.713,717.082,0.79875
6,"RHip",200.028,739.593,0.898188,453.854,717.051,0.864479
6,"RKnee",200.325,853.281,0.91501,458.692,817.101,0.861585
6,"RAnkle",195.62,966.692,0.893865,490.303,916.719,0.878046
6,"LHip",200.208,730.708,0.706977,485.988,717.151,0.854361
6,"LKnee",209.238,848.575,0.773225,485.679,825.962,0.859074
6,"LAnkle",204.54,948.372,0.814064,521.897,948.373,0.835392
6,"REye",236.267,513.075,0.906454,0,0,0
6,"LEye",0,0,0,449.426,494.799,0.950235
6,"REar",204.641,522.021,0.961691,0,0,0
6,"LEar",0,0,0,481.152,512.909,0.879714
6,"LBigToe",263.365,957.358,0.742498,481.252,971.085,0.851428
6,"LSmallToe",245.45,948.312,0.66762,494.784,975.697,0.794465
6,"LHeel",199.966,961.926,0.446787,526.632,957.552,0.873557
6,"RBigToe",240.91,993.549,0.82832,449.584,943.828,0.848687
6,"RSmallToe",231.77,998.159,0.855393,449.716,925.932,0.827599
6,"RHeel",190.967,989.226,0.851307,499.523,925.57,0.566459
7,"Nose",240.893,522.184,0.919692,440.384,508.478,0.849034
7,"Neck",199.882,585.532,0.816536,485.665,563.052,0.908714
7,"RShoulder",195.548,590.1,0.923029,454.299,563.096,0.876026
7,"RElbow",200.046,671.976,0.925663,454.111,635.703,0.766063
7,"RWrist",231.933,744.535,0.985088,422.418,703.453,0.859413
7,"LShoulder",200.015,580.967,0.732483,499.414,562.925,0.881519
7,"LElbow",0,0,0,526.73,640.07,0.899629
7,"LWrist",0,0,0,454.091,662.629,0.912022
7,"MidHip",200.112,735.19,0.789164,467.739,717.072,0.797083
7,"RHip",200.035,739.606,0.899001,453.87,717.044,0.86581
7,"RKnee",204.509,853.315,0.912845,458.693,817.117,0.859585
7,"RAnkle",195.617,966.687,0.897574,490.295,916.742,0.879052
7,"LHip",200.215,730.714,0.707508,486.003,717.15,0.851099
7,"LKnee",213.589,848.567,0.77101,485.688,826.014,0.858891
7,"LAnkle",204.551,948.316,0.811205,521.92,948.449,0.844187
7,"REye",236.286,517.379,0.913668,0,0,0
7,"LEye",0,0,0,449.427,494.823,0.948307
7,"REar",204.612,522.026,0.966286,0,0,0
7,"LEar",0,0,0,481.155,512.911,0.879727
7,"LBigToe",259.079,957.331,0.750229,481.259,971.133,0.846614
7,"LSmallToe",245.42,943.934,0.675904,490.56,980.127,0.793125
7,"LHeel",199.971,961.862,0.442417,526.651,957.607,0.878692
7,"RBigToe",240.928,993.559,0.83317,449.59,943.814,0.856597
7,"RSmallToe",231.779,998.17,0.860009,453.864,925.931,0.833981
7,"RHeel",190.949,989.214,0.853407,499.508,925.584,0.57069
8,"Nose",240.885,522.149,0.915033,440.374,508.553,0.849327
8,"Neck",199.886,585.521,0.8145,485.675,563.072,0.917385
8,"RShoulder",195.574,590.092,0.923572,454.168,563.151,0.884276
8,"RElbow",200.03,671.969,0.923451,453.907,635.675,0.779554
8,"RWrist",231.938,744.55,0.984465,422.347,703.453,0.855357
8,"LShoulder",199.985,576.6,0.727628,503.911,562.938,0.882217
8,"LElbow",0,0,0,526.855,639.986,0.898652
8,"LWrist",0,0,0,454.196,662.55,0.900274
8,"MidHip",200.138,735.228,0.785606,467.655,717.08,0.805956
8,"RHip",200.084,739.643,0.89949,449.639,717.076,0.871153
8,"RKnee",204.513,853.402,0.905837,458.58,821.382,0.865576
8,"RAnkle",195.631,971.036,0.893484,490.231,920.963,0.884885
8,"LHip",200.208,730.758,0.696655,490.133,717.112,0.857233
8,"LKnee",213.582,848.54,0.755033,485.763,830.414,0.864199
8,"LAnkle",204.594,943.918,0.806215,521.959,948.431,0.852528
8,"REye",236.281,513.071,0.908452,0,0,0
8,"LEye",0,0,0,449.398,494.859,0.943775
8,"REar",204.625,522.021,0.96461,0,0,0
8,"LEar",0,0,0,481.152,512.914,0.881495
8,"LBigToe",263.385,953.02,0.773468,481.28,971.107,0.847393
8,"LSmallToe",245.442,943.816,0.693094,494.791,980.084,0.790606
8,"LHeel",200.056,957.595,0.445833,526.668,957.589,0.886596
8,"RBigToe",240.949,993.603,0.835993,449.581,943.9,0.874265
8,"RSmallToe",231.803,998.237,0.8673,453.853,930.217,0.845124
8,"RHeel",190.96,989.264,0.859989,499.405,925.58,0.590568
9,"Nose",240.889,522.2,0.919729,435.977,512.929,0.8497
9,"Neck",199.862,585.528,0.812624,485.668,563.104,0.911027
9,"RShoulder",195.564,590.092,0.922823,454.144,567.433,0.871647
9,"RElbow",200.012,676.218,0.920721,453.939,639.921,0.754795
9,"RWrist",231.976,744.57,0.981885,422.347,703.332,0.821494
9,"LShoulder",199.938,580.957,0.726086,503.959,562.914,0.884607
9,"LElbow",0,0,0,531.12,639.991,0.888912
9,"LWrist",0,0,0,458.526,662.548,0.886972
9,"MidHip",200.096,735.221,0.793157,467.689,717.117,0.805155
9,"RHip",200.061,739.638,0.89975,449.626,717.102,0.872238
9,"RKnee",204.572,853.287,0.915308,458.585,821.477,0.855988
9,"RAnkle",195.624,971.023,0.890372,490.217,921.079,0.897298
9,"LHip",200.139,730.752,0.709586,490.176,717.155,0.852789
9,"LKnee",213.694,848.53,0.767707,485.804,830.543,0.863646
9,"LAnkle",204.58,948.315,0.804647,521.91,952.773,0.849847
9,"REye",236.282,517.403,0.91728,0,0,0
9,"LEye",0,0,0,449.334,494.878,0.934712
9,"REar",204.599,522.038,0.969501,0,0,0
9,"LEar",0,0,0,481.108,512.898,0.875861
9,"LBigToe",263.393,957.286,0.749611,481.26,971.126,0.851885
9,"LSmallToe",245.388,943.836,0.67415,490.551,980.119,0.799932
9,"LHeel",200.061,961.869,0.440971,526.61,957.667,0.88524
9,"RBigToe",240.894,989.236,0.826386,449.546,948.301,0.871488
9,"RSmallToe",231.805,993.926,0.859335,449.68,930.263,0.837535
9,"RHeel",190.966,989.268,0.854216,499.429,925.699,0.58193
10,"Nose",240.858,522.183,0.924745,440.333,512.984,0.858977
10,"Neck",199.86,585.501,0.815168,485.697,563.152,0.906178
10,"RShoulder",195.512,590.078,0.915818,454.21,567.414,0.866143
10,"RElbow",200.023,676.216,0.919152,454.094,639.936,0.759339
10,"RWrist",236.152,748.812,0.976173,422.48,703.351,0.809335
10,"LShoulder",199.997,576.585,0.73059,503.955,562.987,0.876557
10,"LElbow",0,0,0,531.186,640.006,0.876795
10,"LWrist",0,0,0,458.692,662.522,0.869219
10,"MidHip",200.033,735.114,0.795325,472.155,717.06,0.811294
10,"RHip",199.987,739.545,0.893556,449.689,717.043,0.87645
10,"RKnee",204.683,853.204,0.914228,458.554,821.506,0.860074
10,"RAnkle",195.598,971.009,0.884492,490.18,921.16,0.902228
10,"LHip",200.106,730.61,0.713803,490.272,717.086,0.86264
10,"LKnee",213.712,848.556,0.773346,485.858,830.528,0.873318
10,"LAnkle",204.529,952.867,0.820605,521.954,952.836,0.866889
10,"REye",236.248,517.411,0.919593,0,0,0
10,"LEye",0,0,0,449.365,494.925,0.9366
10,"REar",204.555,522.059,0.971594,0,0,0
10,"LEar",0,0,0,481.152,512.924,0.881354
10,"LBigToe",263.398,957.324,0.711985,481.317,971.168,0.862972
10,"LSmallToe",241.047,943.901,0.63316,494.804,980.166,0.803287
