frame_no,bodyparts,x_p1,y_p1,c_p1,x_p2,y_p2,c_p2
240,Nose,236.229,549.197,0.88357,417.955,495.045,0.900401
241,Nose,236.261,549.186,0.890136,418.006,499.471,0.886178
242,Nose,236.227,549.21,0.877398,417.996,503.957,0.878718
243,Nose,236.166,540.265,0.887343,418.018,512.904,0.868542
244,Nose,232.015,540.166,0.888449,418.028,517.589,0.893724
245,Nose,231.916,540.256,0.895266,417.991,522.086,0.933367
246,Nose,231.822,531.145,0.919263,422.209,526.578,0.941905
247,Nose,231.865,531.104,0.924865,417.929,531.057,0.919964
248,Nose,231.825,526.849,0.940305,417.928,535.737,0.888786
249,Nose,231.747,526.843,0.933616,417.822,553.708,0.902292
250,Nose,231.686,531.062,0.918521,417.829,558.267,0.93961
251,Nose,231.619,526.818,0.930757,417.88,558.491,0.946584
252,Nose,231.642,531.141,0.9314,418.007,562.814,0.957828
253,Nose,231.635,531.158,0.932181,422.445,562.696,0.934049
254,Nose,231.596,531.149,0.93224,426.789,558.374,0.924533
255,Nose,231.562,531.131,0.929671,426.927,558.226,0.917098
256,Nose,227.32,531.143,0.919154,435.83,549.212,0.845999
257,Nose,227.258,526.845,0.926097,440.342,531.34,0.852774
258,Nose,227.165,526.797,0.921491,440.369,526.665,0.907721
259,Nose,227.094,526.594,0.929161,444.882,526.404,0.948861
260,Nose,227.124,526.487,0.942798,445.051,521.93,0.956162
261,Nose,222.767,526.482,0.935633,449.355,513.026,0.925134
262,Nose,222.778,526.426,0.940603,449.496,508.459,0.929549
263,Nose,222.776,526.443,0.93806,449.635,504,0.927925
264,Nose,222.765,526.412,0.941785,453.875,503.883,0.926307
265,Nose,222.767,522.295,0.93983,454.101,499.506,0.918727
266,Nose,222.789,522.244,0.940097,454.184,504.007,0.90716
267,Nose,227.102,522.239,0.941694,454.236,503.883,0.903222
268,Nose,227.146,522.28,0.948395,458.639,503.892,0.879658
269,Nose,227.151,526.413,0.950444,458.684,503.99,0.870098
270,Nose,227.128,526.394,0.948468,463.064,504.02,0.857342
